nl,nl_template,sql,sql_template
How many patients had radiograph test performed and whose results were above 4.9,How many patients had TEST_1 test performed and whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients had radiograph test performed and whose results were above 3.54,How many patients had TEST_1 test performed and whose results were above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph and had results above 1.5,How many patients were tested for TEST_1 and had results above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph and had results above 4.9,How many patients were tested for TEST_1 and had results above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph and had results above 3.54,How many patients were tested for TEST_1 and had results above NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum > 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum > NUMERIC_1
How many patients were tested for radiograph whose results were lesser than 1.5,How many patients were tested for TEST_1 whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients were tested for radiograph whose results were lesser than 4.9,How many patients were tested for TEST_1 whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients were tested for radiograph whose results were lesser than 3.54,How many patients were tested for TEST_1 whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had radiograph test whose results were lesser than 1.5,How many patients had TEST_1 test whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had radiograph test whose results were lesser than 4.9,How many patients had TEST_1 test whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had radiograph test whose results were lesser than 3.54,How many patients had TEST_1 test whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had labs for radiograph whose results were lesser than 1.5,How many patients had labs for TEST_1 whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had labs for radiograph whose results were lesser than 4.9,How many patients had labs for TEST_1 whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had labs for radiograph whose results were lesser than 3.54,How many patients had labs for TEST_1 whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had results for radiograph lesser than 1.5,How many patients had results for TEST_1 lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had results for radiograph lesser than 4.9,How many patients had results for TEST_1 lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had results for radiograph lesser than 3.54,How many patients had results for TEST_1 lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had radiograph test performed and whose results were lesser than 1.5,How many patients had TEST_1 test performed and whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had radiograph test performed and whose results were lesser than 4.9,How many patients had TEST_1 test performed and whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients had radiograph test performed and whose results were lesser than 3.54,How many patients had TEST_1 test performed and whose results were lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients were tested for radiograph and had results lesser than 1.5,How many patients were tested for TEST_1 and had results lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients were tested for radiograph and had results lesser than 4.9,How many patients were tested for TEST_1 and had results lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 4.9,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients were tested for radiograph and had results lesser than 3.54,How many patients were tested for TEST_1 and had results lesser than NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 3.54,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
How many patients were tested for radiograph whose results were below 1.5,How many patients were tested for TEST_1 whose results were below NUMERIC_1,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%radiograph%') and valuenum < 1.5,select count(distinct subject_id) from LABEVENTS where itemid IN ( select distinct itemid from D_LABITEMS where label like '%TEST_1%') and valuenum < NUMERIC_1
